lower_limit,left_limit,upper_limit,right_limit,input_text
10.75,72.25,11.0,72.5,C43G5
10.0,72.25,10.25,72.5,C43G8
10.0,73.5,10.25,73.75,C43H12
10.75,73.5,11.0,73.75,C43H9
10.75,75.75,11.0,76.0,C43J13
10.5,75.75,10.75,76.0,C43J14
10.75,76.0,11.0,76.25,C43K1
10.5,76.5,10.75,76.75,C43K10
10.25,76.5,10.5,76.75,C43K11
10.0,76.5,10.25,76.75,C43K12
10.75,76.75,11.0,77.0,C43K13
10.5,76.75,10.75,77.0,C43K14
10.25,76.75,10.5,77.0,C43K15
10.0,76.75,10.25,77.0,C43K16
10.5,76.0,10.75,76.25,C43K2
10.25,76.0,10.5,76.25,C43K3
10.0,76.0,10.25,76.25,C43K4
10.75,76.25,11.0,76.5,C43K5
10.5,76.25,10.75,76.5,C43K6
10.25,76.25,10.5,76.5,C43K7
10.0,76.25,10.25,76.5,C43K8
10.75,76.5,11.0,76.75,C43K9
10.75,77.0,11.0,77.25,C43L1
10.25,77.5,10.5,77.75,C43L11
10.0,77.5,10.25,77.75,C43L12
10.75,77.75,11.0,78.0,C43L13
10.5,77.75,10.75,78.0,C43L14
10.25,77.75,10.5,78.0,C43L15
10.0,77.75,10.25,78.0,C43L16
10.5,77.0,10.75,77.25,C43L2
10.25,77.0,10.5,77.25,C43L3
10.0,77.0,10.25,77.25,C43L4
10.75,77.25,11.0,77.5,C43L5
10.5,77.25,10.75,77.5,C43L6
10.25,77.25,10.5,77.5,C43L7
10.0,77.25,10.25,77.5,C43L8
10.75,77.5,11.0,77.75,C43L9
9.5,76.5,9.75,76.75,C43Q10
9.25,76.5,9.5,76.75,C43Q11
9.0,76.5,9.25,76.75,C43Q12
9.75,76.75,10.0,77.0,C43Q13
9.5,76.75,9.75,77.0,C43Q14
9.25,76.75,9.5,77.0,C43Q15
9.0,76.75,9.25,77.0,C43Q16
9.5,76.25,9.75,76.5,C43Q6
9.25,76.25,9.5,76.5,C43Q7
9.0,76.25,9.25,76.5,C43Q8
9.75,76.5,10.0,76.75,C43Q9
9.75,77.0,10.0,77.25,C43R1
9.5,77.5,9.75,77.75,C43R10
9.25,77.5,9.5,77.75,C43R11
9.0,77.5,9.25,77.75,C43R12
9.75,77.75,10.0,78.0,C43R13
9.5,77.75,9.75,78.0,C43R14
9.25,77.75,9.5,78.0,C43R15
9.0,77.75,9.25,78.0,C43R16
9.5,77.0,9.75,77.25,C43R2
9.25,77.0,9.5,77.25,C43R3
9.0,77.0,9.25,77.25,C43R4
9.75,77.25,10.0,77.5,C43R5
9.5,77.25,9.75,77.5,C43R6
9.25,77.25,9.5,77.5,C43R7
9.0,77.25,9.25,77.5,C43R8
9.75,77.5,10.0,77.75,C43R9
8.25,73.0,8.5,73.25,C43T3
8.5,76.5,8.75,76.75,C43W10
8.75,76.75,9.0,77.0,C43W13
8.5,76.75,8.75,77.0,C43W14
8.25,76.75,8.5,77.0,C43W15
8.75,76.5,9.0,76.75,C43W9
8.75,77.0,9.0,77.25,C43X1
8.5,77.5,8.75,77.75,C43X10
8.25,77.5,8.5,77.75,C43X11
8.0,77.5,8.25,77.75,C43X12
8.75,77.75,9.0,78.0,C43X13
8.5,77.75,8.75,78.0,C43X14
8.25,77.75,8.5,78.0,C43X15
8.0,77.75,8.25,78.0,C43X16
8.5,77.0,8.75,77.25,C43X2
8.25,77.0,8.5,77.25,C43X3
8.0,77.0,8.25,77.25,C43X4
8.75,77.25,9.0,77.5,C43X5
8.25,77.25,8.5,77.5,C43X7
8.0,77.25,8.25,77.5,C43X8
8.75,77.5,9.0,77.75,C43X9
11.75,78.0,12.0,78.25,C44A1
11.5,78.5,11.75,78.75,C44A10
11.25,78.5,11.5,78.75,C44A11
11.0,78.5,11.25,78.75,C44A12
11.75,78.75,12.0,79.0,C44A13
11.5,78.75,11.75,79.0,C44A14
11.25,78.75,11.5,79.0,C44A15
11.0,78.75,11.25,79.0,C44A16
11.5,78.0,11.75,78.25,C44A2
11.25,78.0,11.5,78.25,C44A3
11.0,78.0,11.25,78.25,C44A4
11.75,78.25,12.0,78.5,C44A5
11.5,78.25,11.75,78.5,C44A6
11.25,78.25,11.5,78.5,C44A7
11.0,78.25,11.25,78.5,C44A8
11.75,78.5,12.0,78.75,C44A9
11.75,79.0,12.0,79.25,C44B1
11.25,79.5,11.5,79.75,C44B11
11.0,79.5,11.25,79.75,C44B12
11.75,79.75,12.0,80.0,C44B13
11.5,79.75,11.75,80.0,C44B14
11.25,79.75,11.5,80.0,C44B15
11.0,79.75,11.25,80.0,C44B16
11.5,79.0,11.75,79.25,C44B2
11.25,79.0,11.5,79.25,C44B3
11.0,79.0,11.25,79.25,C44B4
11.75,79.25,12.0,79.5,C44B5
11.5,79.25,11.75,79.5,C44B6
11.25,79.25,11.5,79.5,C44B7
11.0,79.25,11.25,79.5,C44B8
11.75,79.5,12.0,79.75,C44B9
10.75,78.0,11.0,78.25,C44G1
10.5,78.5,10.75,78.75,C44G10
10.25,78.5,10.5,78.75,C44G11
10.0,78.5,10.25,78.75,C44G12
10.75,78.75,11.0,79.0,C44G13
10.5,78.75,10.75,79.0,C44G14
10.25,78.75,10.5,79.0,C44G15
10.0,78.75,10.25,79.0,C44G16
10.5,78.0,10.75,78.25,C44G2
10.25,78.0,10.5,78.25,C44G3
10.0,78.0,10.25,78.25,C44G4
10.75,78.25,11.0,78.5,C44G5
10.5,78.25,10.75,78.5,C44G6
10.25,78.25,10.5,78.5,C44G7
10.0,78.25,10.25,78.5,C44G8
10.75,78.5,11.0,78.75,C44G9
10.75,79.0,11.0,79.25,C44H1
10.5,79.5,10.75,79.75,C44H10
10.25,79.5,10.5,79.75,C44H11
10.75,79.75,11.0,80.0,C44H13
10.5,79.75,10.75,80.0,C44H14
10.25,79.75,10.5,80.0,C44H15
10.5,79.0,10.75,79.25,C44H2
10.25,79.0,10.5,79.25,C44H3
10.75,79.25,11.0,79.5,C44H5
10.5,79.25,10.75,79.5,C44H6
10.25,79.25,10.5,79.5,C44H7
10.75,79.5,11.0,79.75,C44H9
9.75,78.0,10.0,78.25,C44M1
9.5,78.5,9.75,78.75,C44M10
9.25,78.5,9.5,78.75,C44M11
9.0,78.5,9.25,78.75,C44M12
9.75,78.75,10.0,79.0,C44M13
9.5,78.75,9.75,79.0,C44M14
9.25,78.75,9.5,79.0,C44M15
9.0,78.75,9.25,79.0,C44M16
9.5,78.0,9.75,78.25,C44M2
9.25,78.0,9.5,78.25,C44M3
9.0,78.0,9.25,78.25,C44M4
9.75,78.25,10.0,78.5,C44M5
9.5,78.25,9.75,78.5,C44M6
9.25,78.25,9.5,78.5,C44M7
9.0,78.25,9.25,78.5,C44M8
9.75,78.5,10.0,78.75,C44M9
9.75,79.0,10.0,79.25,C44N1
9.5,79.0,9.75,79.25,C44N2
8.75,78.75,9.0,79.0,C44S13
8.5,78.0,8.75,78.25,C44S2
11.5,92.5,11.75,92.75,C46C10
11.25,92.5,11.5,92.75,C46C11
11.0,92.5,11.25,92.75,C46C12
11.75,92.75,12.0,93.0,C46C13
11.5,92.75,11.75,93.0,C46C14
11.5,92.0,11.75,92.25,C46C2
11.5,92.25,11.75,92.5,C46C6
11.75,92.5,12.0,92.75,C46C9
11.75,93.0,12.0,93.25,C46D1
10.75,92.0,11.0,92.25,C46I1
10.5,92.5,10.75,92.75,C46I10
10.75,92.25,11.0,92.5,C46I5
10.5,92.25,10.75,92.5,C46I6
10.75,92.5,11.0,92.75,C46I9
8.75,92.75,9.0,93.0,C46U13
8.5,93.5,8.75,93.75,C46V10
8.25,93.5,8.5,93.75,C46V11
8.0,93.5,8.25,93.75,C46V12
8.25,93.0,8.5,93.25,C46V3
8.0,93.0,8.25,93.25,C46V4
8.0,93.25,8.25,93.5,C46V8
15.5,73.5,15.75,73.75,D43B10
15.75,73.75,16.0,74.0,D43B13
15.5,73.75,15.75,74.0,D43B14
15.25,73.75,15.5,74.0,D43B15
15.0,73.75,15.25,74.0,D43B16
15.75,74.0,16.0,74.25,D43C1
15.5,74.5,15.75,74.75,D43C10
15.25,74.5,15.5,74.75,D43C11
15.0,74.5,15.25,74.75,D43C12
15.75,74.75,16.0,75.0,D43C13
15.5,74.75,15.75,75.0,D43C14
15.25,74.75,15.5,75.0,D43C15
15.0,74.75,15.25,75.0,D43C16
15.5,74.0,15.75,74.25,D43C2
15.25,74.0,15.5,74.25,D43C3
15.0,74.0,15.25,74.25,D43C4
15.75,74.25,16.0,74.5,D43C5
15.5,74.25,15.75,74.5,D43C6
15.25,74.25,15.5,74.5,D43C7
15.0,74.25,15.25,74.5,D43C8
15.75,74.5,16.0,74.75,D43C9
15.75,75.0,16.0,75.25,D43D1
15.5,75.5,15.75,75.75,D43D10
15.25,75.5,15.5,75.75,D43D11
15.0,75.5,15.25,75.75,D43D12
15.75,75.75,16.0,76.0,D43D13
15.5,75.75,15.75,76.0,D43D14
15.25,75.75,15.5,76.0,D43D15
15.0,75.75,15.25,76.0,D43D16
15.5,75.0,15.75,75.25,D43D2
15.25,75.0,15.5,75.25,D43D3
15.0,75.0,15.25,75.25,D43D4
15.75,75.25,16.0,75.5,D43D5
15.5,75.25,15.75,75.5,D43D6
15.25,75.25,15.5,75.5,D43D7
15.0,75.25,15.25,75.5,D43D8
15.75,75.5,16.0,75.75,D43D9
15.75,76.0,16.0,76.25,D43E1
15.5,76.5,15.75,76.75,D43E10
15.25,76.5,15.5,76.75,D43E11
15.0,76.5,15.25,76.75,D43E12
15.75,76.75,16.0,77.0,D43E13
15.5,76.75,15.75,77.0,D43E14
15.25,76.75,15.5,77.0,D43E15
15.0,76.75,15.25,77.0,D43E16
15.5,76.0,15.75,76.25,D43E2
15.25,76.0,15.5,76.25,D43E3
15.0,76.0,15.25,76.25,D43E4
15.75,76.25,16.0,76.5,D43E5
15.5,76.25,15.75,76.5,D43E6
15.25,76.25,15.5,76.5,D43E7
15.0,76.25,15.25,76.5,D43E8
15.75,76.5,16.0,76.75,D43E9
15.75,77.0,16.0,77.25,D43F1
15.5,77.5,15.75,77.75,D43F10
15.25,77.5,15.5,77.75,D43F11
15.0,77.5,15.25,77.75,D43F12
15.75,77.75,16.0,78.0,D43F13
15.5,77.75,15.75,78.0,D43F14
15.25,77.75,15.5,78.0,D43F15
15.0,77.75,15.25,78.0,D43F16
15.5,77.0,15.75,77.25,D43F2
15.25,77.0,15.5,77.25,D43F3
15.0,77.0,15.25,77.25,D43F4
15.75,77.25,16.0,77.5,D43F5
15.5,77.25,15.75,77.5,D43F6
15.25,77.25,15.5,77.5,D43F7
15.0,77.25,15.25,77.5,D43F8
15.75,77.5,16.0,77.75,D43F9
14.75,74.0,15.0,74.25,D43I1
14.5,74.5,14.75,74.75,D43I10
14.25,74.5,14.5,74.75,D43I11
14.0,74.5,14.25,74.75,D43I12
14.75,74.75,15.0,75.0,D43I13
14.5,74.75,14.75,75.0,D43I14
14.25,74.75,14.5,75.0,D43I15
14.0,74.75,14.25,75.0,D43I16
14.5,74.0,14.75,74.25,D43I2
14.75,74.25,15.0,74.5,D43I5
14.5,74.25,14.75,74.5,D43I6
14.25,74.25,14.5,74.5,D43I7
14.0,74.25,14.25,74.5,D43I8
14.75,74.5,15.0,74.75,D43I9
14.75,75.0,15.0,75.25,D43J1
14.5,75.5,14.75,75.75,D43J10
14.25,75.5,14.5,75.75,D43J11
14.0,75.5,14.25,75.75,D43J12
14.75,75.75,15.0,76.0,D43J13
14.5,75.75,14.75,76.0,D43J14
14.25,75.75,14.5,76.0,D43J15
14.0,75.75,14.25,76.0,D43J16
14.5,75.0,14.75,75.25,D43J2
14.25,75.0,14.5,75.25,D43J3
14.0,75.0,14.25,75.25,D43J4
14.75,75.25,15.0,75.5,D43J5
14.5,75.25,14.75,75.5,D43J6
14.25,75.25,14.5,75.5,D43J7
14.0,75.25,14.25,75.5,D43J8
14.75,75.5,15.0,75.75,D43J9
14.75,76.0,15.0,76.25,D43K1
14.5,76.5,14.75,76.75,D43K10
14.25,76.5,14.5,76.75,D43K11
14.0,76.5,14.25,76.75,D43K12
14.75,76.75,15.0,77.0,D43K13
14.5,76.75,14.75,77.0,D43K14
14.25,76.75,14.5,77.0,D43K15
14.0,76.75,14.25,77.0,D43K16
14.5,76.0,14.75,76.25,D43K2
14.25,76.0,14.5,76.25,D43K3
14.0,76.0,14.25,76.25,D43K4
14.75,76.25,15.0,76.5,D43K5
14.5,76.25,14.75,76.5,D43K6
14.25,76.25,14.5,76.5,D43K7
14.0,76.25,14.25,76.5,D43K8
14.75,76.5,15.0,76.75,D43K9
14.75,77.0,15.0,77.25,D43L1
14.5,77.5,14.75,77.75,D43L10
14.25,77.5,14.5,77.75,D43L11
14.0,77.5,14.25,77.75,D43L12
14.75,77.75,15.0,78.0,D43L13
14.5,77.75,14.75,78.0,D43L14
14.25,77.75,14.5,78.0,D43L15
14.0,77.75,14.25,78.0,D43L16
14.5,77.0,14.75,77.25,D43L2
14.25,77.0,14.5,77.25,D43L3
14.0,77.0,14.25,77.25,D43L4
14.75,77.25,15.0,77.5,D43L5
14.5,77.25,14.75,77.5,D43L6
14.25,77.25,14.5,77.5,D43L7
14.0,77.25,14.25,77.5,D43L8
14.75,77.5,15.0,77.75,D43L9
13.5,74.5,13.75,74.75,D43O10
13.25,74.5,13.5,74.75,D43O11
13.0,74.5,13.25,74.75,D43O12
13.75,74.75,14.0,75.0,D43O13
13.5,74.75,13.75,75.0,D43O14
13.25,74.75,13.5,75.0,D43O15
13.0,74.75,13.25,75.0,D43O16
13.75,74.5,14.0,74.75,D43O9
13.75,75.0,14.0,75.25,D43P1
13.5,75.5,13.75,75.75,D43P10
13.25,75.5,13.5,75.75,D43P11
13.0,75.5,13.25,75.75,D43P12
13.75,75.75,14.0,76.0,D43P13
13.5,75.75,13.75,76.0,D43P14
13.25,75.75,13.5,76.0,D43P15
13.0,75.75,13.25,76.0,D43P16
13.5,75.0,13.75,75.25,D43P2
13.25,75.0,13.5,75.25,D43P3
13.0,75.0,13.25,75.25,D43P4
13.75,75.25,14.0,75.5,D43P5
13.5,75.25,13.75,75.5,D43P6
13.25,75.25,13.5,75.5,D43P7
13.0,75.25,13.25,75.5,D43P8
13.75,75.5,14.0,75.75,D43P9
13.75,76.0,14.0,76.25,D43Q1
13.5,76.5,13.75,76.75,D43Q10
13.25,76.5,13.5,76.75,D43Q11
13.0,76.5,13.25,76.75,D43Q12
13.75,76.75,14.0,77.0,D43Q13
13.5,76.75,13.75,77.0,D43Q14
13.25,76.75,13.5,77.0,D43Q15
13.0,76.75,13.25,77.0,D43Q16
13.5,76.0,13.75,76.25,D43Q2
13.25,76.0,13.5,76.25,D43Q3
13.0,76.0,13.25,76.25,D43Q4
13.75,76.25,14.0,76.5,D43Q5
13.5,76.25,13.75,76.5,D43Q6
13.25,76.25,13.5,76.5,D43Q7
13.0,76.25,13.25,76.5,D43Q8
13.75,76.5,14.0,76.75,D43Q9
13.75,77.0,14.0,77.25,D43R1
13.5,77.5,13.75,77.75,D43R10
13.25,77.5,13.5,77.75,D43R11
13.0,77.5,13.25,77.75,D43R12
13.75,77.75,14.0,78.0,D43R13
13.5,77.75,13.75,78.0,D43R14
13.25,77.75,13.5,78.0,D43R15
13.0,77.75,13.25,78.0,D43R16
13.5,77.0,13.75,77.25,D43R2
13.25,77.0,13.5,77.25,D43R3
13.0,77.0,13.25,77.25,D43R4
13.75,77.25,14.0,77.5,D43R5
13.5,77.25,13.75,77.5,D43R6
13.25,77.25,13.5,77.5,D43R7
13.0,77.25,13.25,77.5,D43R8
13.75,77.5,14.0,77.75,D43R9
12.75,74.75,13.0,75.0,D43U13
12.5,74.75,12.75,75.0,D43U14
12.25,74.75,12.5,75.0,D43U15
12.75,75.0,13.0,75.25,D43V1
12.5,75.5,12.75,75.75,D43V10
12.25,75.5,12.5,75.75,D43V11
12.0,75.5,12.25,75.75,D43V12
12.75,75.75,13.0,76.0,D43V13
12.5,75.75,12.75,76.0,D43V14
12.25,75.75,12.5,76.0,D43V15
12.0,75.75,12.25,76.0,D43V16
12.5,75.0,12.75,75.25,D43V2
12.25,75.0,12.5,75.25,D43V3
12.0,75.0,12.25,75.25,D43V4
12.75,75.25,13.0,75.5,D43V5
12.5,75.25,12.75,75.5,D43V6
12.25,75.25,12.5,75.5,D43V7
12.0,75.25,12.25,75.5,D43V8
12.75,75.5,13.0,75.75,D43V9
12.75,76.0,13.0,76.25,D43W1
12.5,76.5,12.75,76.75,D43W10
12.25,76.5,12.5,76.75,D43W11
12.0,76.5,12.25,76.75,D43W12
12.75,76.75,13.0,77.0,D43W13
12.5,76.75,12.75,77.0,D43W14
12.25,76.75,12.5,77.0,D43W15
12.0,76.75,12.25,77.0,D43W16
12.5,76.0,12.75,76.25,D43W2
12.25,76.0,12.5,76.25,D43W3
12.0,76.0,12.25,76.25,D43W4
12.75,76.25,13.0,76.5,D43W5
12.5,76.25,12.75,76.5,D43W6
12.25,76.25,12.5,76.5,D43W7
12.0,76.25,12.25,76.5,D43W8
12.75,76.5,13.0,76.75,D43W9
12.75,77.0,13.0,77.25,D43X1
12.5,77.5,12.75,77.75,D43X10
12.25,77.5,12.5,77.75,D43X11
12.0,77.5,12.25,77.75,D43X12
12.75,77.75,13.0,78.0,D43X13
12.5,77.75,12.75,78.0,D43X14
12.25,77.75,12.5,78.0,D43X15
12.0,77.75,12.25,78.0,D43X16
12.5,77.0,12.75,77.25,D43X2
12.25,77.0,12.5,77.25,D43X3
12.0,77.0,12.25,77.25,D43X4
12.75,77.25,13.0,77.5,D43X5
12.5,77.25,12.75,77.5,D43X6
12.25,77.25,12.5,77.5,D43X7
12.0,77.25,12.25,77.5,D43X8
12.75,77.5,13.0,77.75,D43X9
15.75,78.0,16.0,78.25,D44A1
15.5,78.5,15.75,78.75,D44A10
15.25,78.5,15.5,78.75,D44A11
15.0,78.5,15.25,78.75,D44A12
15.75,78.75,16.0,79.0,D44A13
15.5,78.75,15.75,79.0,D44A14
15.25,78.75,15.5,79.0,D44A15
15.0,78.75,15.25,79.0,D44A16
15.5,78.0,15.75,78.25,D44A2
15.25,78.0,15.5,78.25,D44A3
15.0,78.0,15.25,78.25,D44A4
15.75,78.25,16.0,78.5,D44A5
15.5,78.25,15.75,78.5,D44A6
15.25,78.25,15.5,78.5,D44A7
15.0,78.25,15.25,78.5,D44A8
15.75,78.5,16.0,78.75,D44A9
15.75,79.0,16.0,79.25,D44B1
15.5,79.5,15.75,79.75,D44B10
15.25,79.5,15.5,79.75,D44B11
15.0,79.5,15.25,79.75,D44B12
15.75,79.75,16.0,80.0,D44B13
15.5,79.75,15.75,80.0,D44B14
15.25,79.75,15.5,80.0,D44B15
15.0,79.75,15.25,80.0,D44B16
15.5,79.0,15.75,79.25,D44B2
15.25,79.0,15.5,79.25,D44B3
15.0,79.0,15.25,79.25,D44B4
15.75,79.25,16.0,79.5,D44B5
15.5,79.25,15.75,79.5,D44B6
15.25,79.25,15.5,79.5,D44B7
15.0,79.25,15.25,79.5,D44B8
15.75,79.5,16.0,79.75,D44B9
15.75,80.0,16.0,80.25,D44C1
15.5,80.0,15.75,80.25,D44C2
15.25,80.0,15.5,80.25,D44C3
15.0,80.0,15.25,80.25,D44C4
15.75,80.25,16.0,80.5,D44C5
15.5,80.25,15.75,80.5,D44C6
15.75,80.5,16.0,80.75,D44C9
14.75,78.0,15.0,78.25,D44G1
14.5,78.5,14.75,78.75,D44G10
14.25,78.5,14.5,78.75,D44G11
14.0,78.5,14.25,78.75,D44G12
14.75,78.75,15.0,79.0,D44G13
14.5,78.75,14.75,79.0,D44G14
14.25,78.75,14.5,79.0,D44G15
14.0,78.75,14.25,79.0,D44G16
14.5,78.0,14.75,78.25,D44G2
14.25,78.0,14.5,78.25,D44G3
14.0,78.0,14.25,78.25,D44G4
14.75,78.25,15.0,78.5,D44G5
14.5,78.25,14.75,78.5,D44G6
14.25,78.25,14.5,78.5,D44G7
14.0,78.25,14.25,78.5,D44G8
14.75,78.5,15.0,78.75,D44G9
14.75,79.0,15.0,79.25,D44H1
14.5,79.5,14.75,79.75,D44H10
14.25,79.5,14.5,79.75,D44H11
14.0,79.5,14.25,79.75,D44H12
14.75,79.75,15.0,80.0,D44H13
14.5,79.75,14.75,80.0,D44H14
14.25,79.75,14.5,80.0,D44H15
14.0,79.75,14.25,80.0,D44H16
14.5,79.0,14.75,79.25,D44H2
14.25,79.0,14.5,79.25,D44H3
14.0,79.0,14.25,79.25,D44H4
14.75,79.25,15.0,79.5,D44H5
14.5,79.25,14.75,79.5,D44H6
14.25,79.25,14.5,79.5,D44H7
14.0,79.25,14.25,79.5,D44H8
14.75,79.5,15.0,79.75,D44H9
14.75,80.0,15.0,80.25,D44I1
14.5,80.0,14.75,80.25,D44I2
14.25,80.0,14.5,80.25,D44I3
14.0,80.0,14.25,80.25,D44I4
13.75,78.0,14.0,78.25,D44M1
13.5,78.5,13.75,78.75,D44M10
13.25,78.5,13.5,78.75,D44M11
13.0,78.5,13.25,78.75,D44M12
13.75,78.75,14.0,79.0,D44M13
13.5,78.75,13.75,79.0,D44M14
13.25,78.75,13.5,79.0,D44M15
13.0,78.75,13.25,79.0,D44M16
13.5,78.0,13.75,78.25,D44M2
13.25,78.0,13.5,78.25,D44M3
13.0,78.0,13.25,78.25,D44M4
13.75,78.25,14.0,78.5,D44M5
13.5,78.25,13.75,78.5,D44M6
13.25,78.25,13.5,78.5,D44M7
13.0,78.25,13.25,78.5,D44M8
13.75,78.5,14.0,78.75,D44M9
13.75,79.0,14.0,79.25,D44N1
13.5,79.5,13.75,79.75,D44N10
13.25,79.5,13.5,79.75,D44N11
13.0,79.5,13.25,79.75,D44N12
13.75,79.75,14.0,80.0,D44N13
13.5,79.75,13.75,80.0,D44N14
13.25,79.75,13.5,80.0,D44N15
13.0,79.75,13.25,80.0,D44N16
13.5,79.0,13.75,79.25,D44N2
13.25,79.0,13.5,79.25,D44N3
13.0,79.0,13.25,79.25,D44N4
13.75,79.25,14.0,79.5,D44N5
13.5,79.25,13.75,79.5,D44N6
13.25,79.25,13.5,79.5,D44N7
13.0,79.25,13.25,79.5,D44N8
13.75,79.5,14.0,79.75,D44N9
13.25,80.0,13.5,80.25,D44O3
13.0,80.0,13.25,80.25,D44O4
13.25,80.25,13.5,80.5,D44O7
13.0,80.25,13.25,80.5,D44O8
12.75,78.0,13.0,78.25,D44S1
12.5,78.5,12.75,78.75,D44S10
12.25,78.5,12.5,78.75,D44S11
12.0,78.5,12.25,78.75,D44S12
12.75,78.75,13.0,79.0,D44S13
12.5,78.75,12.75,79.0,D44S14
12.25,78.75,12.5,79.0,D44S15
12.0,78.75,12.25,79.0,D44S16
12.5,78.0,12.75,78.25,D44S2
12.25,78.0,12.5,78.25,D44S3
12.0,78.0,12.25,78.25,D44S4
12.75,78.25,13.0,78.5,D44S5
12.5,78.25,12.75,78.5,D44S6
12.25,78.25,12.5,78.5,D44S7
12.0,78.25,12.25,78.5,D44S8
12.75,78.5,13.0,78.75,D44S9
12.75,79.0,13.0,79.25,D44T1
12.5,79.5,12.75,79.75,D44T10
12.25,79.5,12.5,79.75,D44T11
12.0,79.5,12.25,79.75,D44T12
12.75,79.75,13.0,80.0,D44T13
12.5,79.75,12.75,80.0,D44T14
12.25,79.75,12.5,80.0,D44T15
12.0,79.75,12.25,80.0,D44T16
12.5,79.0,12.75,79.25,D44T2
12.25,79.0,12.5,79.25,D44T3
12.0,79.0,12.25,79.25,D44T4
12.75,79.25,13.0,79.5,D44T5
12.5,79.25,12.75,79.5,D44T6
12.25,79.25,12.5,79.5,D44T7
12.0,79.25,12.25,79.5,D44T8
12.75,79.5,13.0,79.75,D44T9
12.5,80.0,12.75,80.25,D44U2
13.5,93.0,13.75,93.25,D46P2
13.25,93.0,13.5,93.25,D46P3
13.0,93.0,13.25,93.25,D46P4
12.25,93.75,12.5,94.0,D46V15
12.25,93.0,12.5,93.25,D46V3
12.0,93.0,12.25,93.25,D46V4
19.5,72.5,19.75,72.75,E43A10
19.75,72.75,20.0,73.0,E43A13
19.5,72.75,19.75,73.0,E43A14
19.0,72.75,19.25,73.0,E43A16
19.75,72.5,20.0,72.75,E43A9
19.75,73.0,20.0,73.25,E43B1
19.5,73.5,19.75,73.75,E43B10
19.25,73.5,19.5,73.75,E43B11
19.0,73.5,19.25,73.75,E43B12
19.75,73.75,20.0,74.0,E43B13
19.5,73.75,19.75,74.0,E43B14
19.25,73.75,19.5,74.0,E43B15
19.0,73.75,19.25,74.0,E43B16
19.5,73.0,19.75,73.25,E43B2
19.25,73.0,19.5,73.25,E43B3
19.0,73.0,19.25,73.25,E43B4
19.75,73.25,20.0,73.5,E43B5
19.5,73.25,19.75,73.5,E43B6
19.25,73.25,19.5,73.5,E43B7
19.0,73.25,19.25,73.5,E43B8
19.75,73.5,20.0,73.75,E43B9
19.75,74.0,20.0,74.25,E43C1
19.25,74.5,19.5,74.75,E43C11
19.0,74.5,19.25,74.75,E43C12
19.75,74.75,20.0,75.0,E43C13
19.25,74.75,19.5,75.0,E43C15
19.0,74.75,19.25,75.0,E43C16
19.5,74.0,19.75,74.25,E43C2
19.25,74.0,19.5,74.25,E43C3
19.0,74.0,19.25,74.25,E43C4
19.75,74.25,20.0,74.5,E43C5
19.5,74.25,19.75,74.5,E43C6
19.25,74.25,19.5,74.5,E43C7
19.0,74.25,19.25,74.5,E43C8
19.75,75.0,20.0,75.25,E43D1
19.5,75.5,19.75,75.75,E43D10
19.25,75.5,19.5,75.75,E43D11
